,nodes,edges,density,avg_degree,components,avg_clustering,diameter,avg_path_length
Sentence,57.0,137.0,0.08583959899749373,4.807017543859649,8.0,0.5829252618726303,6.0,2.6807692307692306
Paragraph,74.0,1496.0,0.5538689374305813,40.432432432432435,1.0,0.8622157592317811,3.0,1.4483524620510921
Page,74.0,1496.0,0.5538689374305813,40.432432432432435,1.0,0.8622157592317811,3.0,1.4483524620510921
