entity,degree,eigenvector,betweenness,closeness
Qubani ka Meetha,0.4794520547945205,0.10202713994863301,0.0,0.6576576576576577
Double ka Meetha,0.4794520547945205,0.10202713994863301,0.0,0.6576576576576577
Taramati Baradari,0.7397260273972602,0.1410355470071801,0.007054535125808276,0.7934782608695652
Sheermal,0.0684931506849315,0.012863380713614557,0.0,0.5140845070422535
Salar Jung Museum,0.8630136986301369,0.16012226061393645,0.012010839220496946,0.8795180722891566
Mecca Masjid,0.8630136986301369,0.16012226061393645,0.012010839220496946,0.8795180722891566
Nehru Zoological Park,0.6986301369863013,0.14122192728997734,0.003094715324023688,0.7684210526315789
Almond House,0.1643835616438356,0.03014333995533918,0.0,0.5447761194029851
Sanghi Temple,0.5068493150684932,0.10882729915124725,0.0,0.6697247706422018
Mirchi ka Salan,0.3424657534246575,0.06552805457059084,0.004439370877727042,0.6033057851239669
Dalcha,0.547945205479452,0.11263274008451199,0.004297948428383209,0.6886792452830188
Spanish Mosque,0.7123287671232876,0.1350867598683174,0.006710889982170568,0.776595744680851
Khubani ka Meetha,0.3287671232876712,0.06542820852641212,0.0,0.5983606557377049
Karachi Bakery,0.1643835616438356,0.03014333995533918,0.0,0.5447761194029851
Dum Pukht,0.5068493150684932,0.10882729915124725,0.0,0.6697247706422018
Himayat Sagar,0.5205479452054794,0.10770670226971507,0.0016389213646178765,0.6759259259259259
Secret Lake,0.5068493150684932,0.10882729915124725,0.0,0.6697247706422018
Irani Chai,0.7808219178082192,0.14308088711031794,0.01294134027060429,0.8202247191011236
Ramoji Film City,0.7671232876712328,0.15029273312812824,0.005536898880749109,0.8111111111111111
Lal Bahadur Shastri Stadium,0.4794520547945205,0.10202713994863301,0.0,0.6576576576576577
Wonderla,0.5068493150684932,0.10882729915124725,0.0,0.6697247706422018
Shadab,0.3972602739726027,0.06728215131248722,0.00639846300044169,0.6239316239316239
Sanjeevaiah Park,0.7123287671232876,0.14182590950855745,0.005026395318869588,0.776595744680851
Golconda Fort,0.8767123287671232,0.16072624283251652,0.016131098858260383,0.8902439024390244
Charminar,0.9178082191780821,0.16277158293565439,0.024846618780020802,0.9240506329113924
Sarvi,0.273972602739726,0.03871898767619893,0.0055159954017105625,0.5793650793650794
Shah Ghouse,0.3972602739726027,0.06728215131248722,0.00639846300044169,0.6239316239316239
KBR National Park,0.5068493150684932,0.10882729915124725,0.0,0.6697247706422018
NTR Gardens,0.7123287671232876,0.14182590950855745,0.005026395318869588,0.776595744680851
Pista House,0.3972602739726027,0.06728215131248722,0.00639846300044169,0.6239316239316239
Lamakaan,0.6712328767123288,0.12871428881636485,0.007677389048749601,0.7525773195876289
Chowmahalla Palace,0.8630136986301369,0.16012226061393645,0.012010839220496946,0.8795180722891566
Khatti Dal,0.410958904109589,0.0856715038259663,0.0022066663894722465,0.6293103448275862
Shamirpet Lake,0.4794520547945205,0.102027139948633,0.0,0.6576576576576577
Ravindra Bharathi,0.4794520547945205,0.102027139948633,0.0,0.6576576576576577
Haleem,0.9452054794520548,0.16224194316113513,0.05759243784623562,0.948051948051948
Moula Ali Dargah,0.5068493150684932,0.10882729915124725,0.0,0.6697247706422018
Begum Bazaar,0.9041095890410958,0.16216760071707426,0.019528433667315135,0.9125
Laad Bazaar,0.8630136986301369,0.16012226061393645,0.012010839220496946,0.8795180722891566
Grand Hotel,0.1232876712328767,0.01275500452918491,0.0,0.5289855072463768
Bidri,0.7123287671232876,0.1350867598683174,0.006710889982170568,0.776595744680851
